"p1"	"upper"
SEPTILIA REPENS WHOLE	MOMORDICA CHARANTIA
SCIRPUS WELWITSCHII WHOLE	EUCLEA RACEMOSA
ARIA TORMINALIS WHOLE	BAPTISIA ALBA
CAPSELLA BURSA-PASTORIS [WHO-DD]	PYRUS NIVALIS
SONCHUS OLERACEUS L.	BERBERIS AQUIFOLIUM
JUGLANS REGIA	CAPPARIS SPINOSA
LIVERWORT-HERB WHOLE	SALVIA PRATENSIS
BROADLEAF CATTAIL WHOLE	STADMANIA OPPOSITIFOLIA
CRITHMUM MARITIMUM WHOLE	BERBERIS VULGARIS
LOPHOSCIADIUM MEOIDES WHOLE	CENTAUREA BENEDICTA
ASPARAGUS ZANZIBARICUS WHOLE	ACER RUBRUM
ANDROPOGON TETRASTACHYUS WHOLE	DIOSCOREA PRAEHENSILIS
SATUREJA CAPITATA WHOLE	CAPSELLA BURSA-PASTORIS
IMPATIENS PARVIFLORA DC.	BIDENS PILOSA
FENUGREEK	THUJA PLICATA
RHAMNUS CAROLINIANA WHOLE	SPARTIUM JUNCEUM
MERTENSIA VIRGINICA WHOLE	LINARIA VULGARIS
AMPHIDONAX BIFARIA WHOLE	CARTHAMUS LANATUS
GRAPPLE PLANT	TILIA AMERICANA
TYPHA SPIRALIS WHOLE	CAPSELLA BURSA-PASTORIS
SALIX PSEUDOGILGIANA WHOLE	LEPIDIUM VIRGINICUM
ARTEMISIA HERBA-ALBA	RUMEX CRISPUS
MAGNOLIA OFFICINALIS REHDER & E.H.WILSON	HYPERICUM PUNCTATUM
AGELAEA NITIDA WHOLE	SENNA ITALICA
POLYGONON PERSICARIUM WHOLE	CURCUMA LONGA
JUGLANS NIGRA [WHO-DD]	TURNERA DIFFUSA
ESCHSCHOLZIA ISOSTIGMA WHOLE	CLEMATIS VILLOSA
PYRETHRUM GROSSHEIMII WHOLE	SONCHUS OLERACEUS
CITRUS X AURANTIUM L. (PRO. SP.)	GREEN TEA
ASCLEPIAS STELLIFERA WHOLE	AGELAEA PENTAGYNA
VERNONIA ABBREVIATA WHOLE	URTICA DIOICA
CORYPHA OBLIQUA WHOLE	FICUS CARICA
ALGAROBA WHOLE (CERATONIA SILIQUA)	CYANTHILLIUM CINEREUM
TROPICAL GIRDLEPOD WHOLE	MELISSA OFFICINALIS
GALEGA OFFICINALIS WHOLE	SONCHUS OLERACEUS
BOKHARA-CLOVER WHOLE	HAMAMELIS VIRGINIANA
GEITONOPLESIUM SCANDENS WHOLE	ULMUS RUBRA
RUBUS TRIVIALIS	TANACETUM PARTHENIUM
BERBERIS ARISTATA [WHO-DD]	FICUS SUR
PEUMUS BOLDUS WHOLE	NERIUM OLEANDER
ACER WAGNERI WHOLE	ERYTHRINA CRISTA-GALLI
BAUHINIA RECURVA WHOLE	CICHORIUM INTYBUS
CHIONANTHUS VIRGINICUS [WHO-DD]	ALECTRA SESSILIFLORA
CHELIDONIUM FULVUM WHOLE	ATRACTYLODES LANCEA
LEUCONYMPHAEA RENIFORMIS WHOLE	DIPLOTAXIS ERUCOIDES
XIANG FU WHOLE	CAPSELLA BURSA-PASTORIS
ZANTHOXYLUM ARMATUM WHOLE	AGRIMONIA EUPATORIA
BULL-BAY WHOLE	ELYMUS REPENS
ERODIUM ALTHAEOIDES WHOLE	MORELLA CERIFERA
HEDYSARUM UNIFLORUM WHOLE	COMMELINA DIFFUSA
ACHILLEA CORYMBIFERA WHOLE	LEPIDIUM VIRGINICUM
CENTRANTHUS MARINUS WHOLE	SPERMACOCE VERTICILLATA
ILEX LIGUSTRINA WHOLE	PTERIDIUM AQUILINUM
BRASSICA RAPA L.	SESBANIA SESBAN
QUASSIA [HOC]	MELISSA OFFICINALIS
SCHOENUS MARISCUS WHOLE	CARCHARHINUS LEUCAS
ULMUS VIMINALIS WHOLE	ANDROPOGON VIRGINICUS
CASPAREA CONFUSA WHOLE	SENNA ALEXANDRINA
MEDICAGO AEGAGROPILA WHOLE	CRATAEGUS LAEVIGATA
PRICKLY FANPETALS WHOLE	MEDICAGO POLYMORPHA
ERYTHRINA SUBERIFERA WHOLE	ELYMUS REPENS
QUERCUS CONFUSA WHOLE	GLADIOLUS DALENII
ESCHSCHOLZIA FLORIBUNDA WHOLE	SABAL MINOR
LESSER CALAMINT [HOC]	GLYCINE MAX
THYME-LEAFED GRATIOLA WHOLE	PLUCHEA INDICA
CRITHMUM MARITIMUM WHOLE	BUPLEURUM CHINENSE
CLADIUM MARISCUS WHOLE	SMILAX PSEUDOCHINA
JUNIPERUS CAROLINIANA WHOLE	CRATAEGUS GRACILIOR
UME WHOLE	ALLIUM PORRUM
TORMINARIA CLUSII WHOLE	CAPSELLA BURSA-PASTORIS
CYMBOPOGON SCHOENANTHUS SUBSP. PROXIMUS [WHO-DD]	PRUNUS SPINOSA
BULL BAY WHOLE	NEPETA CATARIA
ANCHUSA OFFICINALIS [HPUS]	NASTURTIUM OFFICINALE
CORDYCEPSMILITARIS	BRASSICA NIGRA
SOLANUM ROHRII WHOLE	QUERCUS ILEX
SPANISH CANE WHOLE	ACHILLEA MILLEFOLIUM
GENISTA ODORATA WHOLE	PLANTAGO ARISTATA
SONCHUS FABRAE WHOLE	HALOXYLON AMMODENDRON
SALIX ANDROGYNA WHOLE	ORIGANUM MAJORANA
SALIX FURSAEVII WHOLE	NUPHAR LUTEA
ANGELICA SINENSIS [WHO-DD]	PLUCHEA INDICA
RUBENTIA ANGUSTIFOLIA WHOLE	ARTEMISIA ANNUA
AMERICAN OAK WHOLE	COPTIS CHINENSIS
ESCHSCHOLZIA RECTA WHOLE	LYCIUM BARBARUM
QUERCUS HYPOPHLAEOS WHOLE	ARALIA SPINOSA
TABERNAEMONTANA DISCOLOR WHOLE	VIBURNUM OPULUS
HESPERIS OFFICINALIS WHOLE	NYMPHAEA ODORATA
PIRIQUETA OVATA WHOLE	IVY LEAF
KENTROPHYLLUM LANATUM WHOLE	SONCHUS OLERACEUS
BURNWEED WHOLE	TILLANDSIA USNEOIDES
LIVE-FOREVER WHOLE	CROSSOPTERYX FEBRIFUGA
TICKSEED (BIDENS PINNATA) [HOC]	FUCUS DISTICHUS
SHATAVARI WHOLE	NEPETA CATARIA
RUELLIA ARTICULATA WHOLE	VERBASCUM THAPSUS
LENS CULINARIS [WHO-DD]	TRIBULUS TERRESTRIS
SCIRPUS FLUVIATILIS WHOLE	SOLANUM ACULEASTRUM
CHINESE HAIRY CHESTNUT WHOLE	SWERTIA LEDUCII
CARTHAMUS LANATUS L.	PRUNUS SEROTINA
MELILOTUS ALBUS WHOLE	ASTRAGALUS PROPINQUUS
TRICHACHNE INSULARIS WHOLE	AMORPHA FRUTICOSA
POLYPORUS HELVEOLUS WHOLE	ROSA CANINA
STACHYS MEXICANA WHOLE	AMOMUM AROMATICUM
BURSA SEGETUM WHOLE	PONTEDERIA CORDATA
CUMINUM CYMINUM WHOLE	OPLOPANAX HORRIDUS
WILD GERANIUM WHOLE	SCHIZACHYRIUM SCOPARIUM
URENA LOUREIROI WHOLE	FILIPENDULA ULMARIA
JUGLANS FRUTICOSA WHOLE	BACTRIS MAJOR
AQUATIC MILKWEED WHOLE	CARYA ILLINOINENSIS
EUCLEA BILOCULARIS WHOLE	FOMITOPSIS PINICOLA
PINUS MUGHO WHOLE	IMPATIENS PARVIFLORA
AMORPHA MACROPHYLLA WHOLE	BIDENS PILOSA
SILK TREE WHOLE	JUGLANS NIGRA
APIUM DULCE WHOLE	CROTALARIA JUNCEA
RICINUS MACROCARPUS WHOLE	MEDICAGO POLYMORPHA
DAMIANA (TURNERA DIFFUSA VAR DIFFUSA) [HOC]	CAT'S-CLAW
CATMINT WHOLE	ENTEROLOBIUM CYCLOCARPUM
LARNASTYRA CLAYTONII WHOLE	SENNA OCCIDENTALIS
DIOSCOREA LONGIFOLIA WHOLE	NERIUM OLEANDER
NEPETA CERETANA WHOLE	APIUM GRAVEOLENS
PICEA ABIES [WHO-DD]	ALCEA SETOSA
PERSIMON VIRGINIANA WHOLE	COMBRETUM MOLLE
LONICERA CHINENSIS WHOLE	IVY LEAF
MAJORANA UNCINATA WHOLE	ARISTOLOCHIA FIMBRIATA
RORIPPA OFFICINALIS WHOLE	GRINDELIA CILIATA
ELDER WHOLE	ZANTHOXYLUM SIMULANS
DIPLOTAXIS RUSCINONENSIS WHOLE	GALIUM APARINE
OXALIS ACETOSELLA	CENTAURIUM ERYTHRAEA
ENGLISH HAWTHORN WHOLE	PLATANTHERA PSYCODES
SALIX AMYGDALIFOLIA WHOLE	CASTANEA DENTATA
CAPRIFOLIUM SEMPERFLORENS WHOLE	SONCHUS OLERACEUS
NERIUM OLEANDER	ATRACTYLODES LANCEA
SOLANUM BENIENSE WHOLE	INULA HELENIUM
HORNY GOAT WEED	GLYCYRRHIZA URALENSIS
EICHHORNIA CRASSIPES [WHO-DD]	AFROHYBANTHUS ENNEASPERMUS
ESCHSCHOLZIA TENUIFOLIA WHOLE	KHAYA ANTHOTHECA
MACLURA SEMPERVIRENS WHOLE	BIDENS PILOSA
ILEX BONPLANDIANA WHOLE	ALBIZIA JULIBRISSIN
POWDERPUFF TREE WHOLE	RUBUS ALLEGHENIENSIS
GNAPHALIUM VISCOSUM WHOLE	CAPSELLA BURSA-PASTORIS
AMERICAN BEAUTYBERRY WHOLE	CALLUNA VULGARIS
THUJA LYCOPODIOIDES WHOLE	AZADIRACHTA INDICA
PULEGIUM DAGHESTANICUM WHOLE	GYMNEMA LATIFOLIUM
SLOE [HOC]	LUDWIGIA PEPLOIDES
MAMMEE APPLE WHOLE	SAMBUCUS NIGRA
SCOLYMUS GYMNOSPERMUS WHOLE	LACTUCA INDICA
CORYPHA REPENS WHOLE	GLYCINE MAX
RUBUS ARUNDELANUS WHOLE	DRIMA MARITIMA
BUR OAK WHOLE	SAMBUCUS CANADENSIS
DENDROPOGON USNEOIDES WHOLE	ANCHUSA OFFICINALIS
MONKEYSOAP [HOC]	SCHIZACHYRIUM SCOPARIUM
BIDENS PILOSA	FILIPENDULA ULMARIA
LONICERA AUREORETICULATA WHOLE	LIQUIDAMBAR STYRACIFLUA
BRASSICA DUBIOSA WHOLE	ANGELICA PINNATA
RUBUS CAMURUS WHOLE	ABIES ALBA
HIBISCUS PETIOLIFLORUS WHOLE	SESAMUM RADIATUM
DIALLOBUS FALCATUS WHOLE	QUERCUS STELLATA
SPERMACOCE FRUTICOSA WHOLE	GLADIOLUS DALENII
MEDICAGO POLYMORPHA WHOLE	DIPSACUS FULLONUM
PAPAVER STRIGOSUM WHOLE	BIDENS BIPINNATA
SICHUAN PEPPER (ZANTHOXYLUM SIMULANS) [HOC]	RICINUS COMMUNIS
BIRD'S RAPE WHOLE	BALLOTA NIGRA
RAPHANUS SYLVESTRIS WHOLE	THUJA PLICATA
TABERNA DISCOLOR WHOLE	OLEA EUROPAEA
HELMINTHIA HUMIFUSA WHOLE	BERBERIS AQUIFOLIUM
BOG SPRUCE WHOLE	CARCHARHINUS LEUCAS
CORYLUS VIRGINIANA WHOLE	GALIUM UNIFLORUM
MALVA ERECTA WHOLE	HARUNGANA MADAGASCARIENSIS
TRICHERA VIRGATA WHOLE	JUNIPERUS VIRGINIANA
CITRUS X INTERMEDIA WHOLE	PLATANUS OCCIDENTALIS
GOMPHOCARPUS REVOLUTUS WHOLE	ALLIUM MACROSTEMON
JUNCUS TORREYI	MITRACARPUS HIRTUS
CASSIA PLUMIERI WHOLE	STILLINGIA SYLVATICA
TABERNAEMONTANA DIVARICATA WHOLE	GLADIOLUS DALENII
SALVIA ELECTA WHOLE	NEPETA TENUIFOLIA
SABINA GLAUCA WHOLE	ZANTHOXYLUM OVALIFOLIUM
BLACKBERRY (RUBUS LACINIATUS) [HOC]	AFROHYBANTHUS ENNEASPERMUS
PAPAVER ROUBIAEI WHOLE	CROSSOPTERYX FEBRIFUGA
MILFOIL WHOLE	ILEX PARAGUARIENSIS
BERBERIS MITIS WHOLE	CEDRUS LIBANI
EUPHORBIA OFFICINARUM L.	ACER PICTUM
ACERATES INCARNATE WHOLE	GARDENIA THUNBERGIA
ORNITHOGALUM ANTHERICOIDES WHOLE	FOENICULUM VULGARE
EUROPEAN BARBERRY WHOLE	CENTAURIUM PULCHELLUM
CAPSELLA PINNATA WHOLE	RUTA GRAVEOLENS
ALCEA PONTICA WHOLE	PLATANTHERA PSYCODES
MOMORDICA MIXTA WHOLE	SENECIO FISTULOSUS
TESTUDIPES RECURVA WHOLE	OPLOPANAX HORRIDUS
JUNIPERUS OXYCEDRUS WHOLE	DIPSACUS FULLONUM
HICORIUS TOMENTOSA WHOLE	FICUS CARICA
VERONICA BIBARBATA WHOLE	SALVIA OFFICINALIS
SOLIDAGO SIMPLEX VAR. NANA (A.GRAY) G.S.RINGIUS (ASTERACEAE)	LUDWIGIA PEPLOIDES
ALECTRA SESSILIFLORA	CERCIS CANADENSIS
CALDESIA SAGITTARIOIDES WHOLE	SISYMBRIUM OFFICINALE
MANIHOT URENS WHOLE	VACCINIUM MYRSINITES
PLUCHEA INDICA (L.) LESS.	NERIUM OLEANDER
ANETHUM FOENICULUM WHOLE	BRASSICA RAPA
BERBERIS NEPALENSIS WHOLE	OLEA EUROPAEA
WILD CELERY WHOLE	VERBASCUM THAPSUS
NEMEXIA LEPTANTHERA WHOLE	RICINUS COMMUNIS
FLORIDA PINE WHOLE	JATROPHA CURCAS
INULA MARIANA WHOLE	PLANTAGO MAJOR
SENEBIERA MEXICANA WHOLE	RUMEX VENOSUS
MIMOSA TREE WHOLE	SALVIA VERBENACA
BOLETUS EDULIS	MACLURA TINCTORIA
FABA MINOR WHOLE	ASPARAGUS SETACEUS
ALOCASIA MARGINATA WHOLE	DITRYSINIA FRUTICOSA
PICEA ABIES	PONTEDERIA CORDATA
SHAME BUSH WHOLE	ARISTOTELIA CHILENSIS
VINCA MAJOR [WHO-DD]	MONESES UNIFLORA
LIBANOTIS CRETENSIS WHOLE	CASTILLEJA MINIATA
ARISTOTELIA CHILENSIS [WHO-DD]	CENTROSEMA VIRGINIANUM
CORN POPPY WHOLE	NEPETA HINDOSTANA
RHEUM DIGYNUM WHOLE	HALOXYLON AMMODENDRON
RUBUS CONTINENTALIS WHOLE	VERONICA CHAMAEDRYS
BURDOCK (ARCTIUM LAPPA) [HOC]	OXALIS ACETOSELLA
JUGLANS ANGUSTIFOLIA WHOLE	DELPHINIUM GRANDIFLORUM
ANDROPOGON PAUCIFLORUS WHOLE	PILOBLEPHIS RIGIDA
ANCHUSA OFFICINALIS WHOLE PLANT [WHO-DD]	MIKANIA BANISTERIAE
INDIAN PLUCHEA WHOLE	BRASSICA RAPA
QUERCUS NIGRESCENS WHOLE	BAUHINIA DIVARICATA
EUCLEA MAYOTTENSIS WHOLE	LACHNANTHES CAROLINIANA
EUROPEAN DWARF ELDER WHOLE	TANACETUM PARTHENIUM
CINNAMOMUM DULCE WHOLE	DIOSCOREA VILLOSA
CHIONANTHUS VIRGINICUS L.	OPUNTIA HUMIFUSA
FOMES SUBUNGULATUS WHOLE	JUNIPERUS OXYCEDRUS
TRIBULUS TERRESTRIS WHOLE	PLATANTHERA PSYCODES
RUBUS SERENUS WHOLE	DRYOBALANOPS AROMATICA
ARDISIA MIAOLIENSIS WHOLE	HYGROPHILA COSTATA
SEBASTIANIA FRUTICOSA WHOLE	FRAXINUS AMERICANA
CALTROP WHOLE	PISTACIA TEREBINTHUS
ECHINACEA PURPUREA	ALOCASIA MACRORRHIZOS
COFFEEWEED WHOLE	MIRABILIS JALAPA
ECHINACEA PURPUREA WHOLE	HAMAMELIS VIRGINIANA
GLYCINE GRACILIS WHOLE	ASCLEPIAS STELLIFERA
THONNINGIA DUBIA WHOLE	CECROPIA PELTATA
LYCHNIS VESPERTINA WHOLE	PISTIA STRATIOTES
EQUISETUM BOREALE WHOLE	CURCUMA ZEDOARIA
GALLITRICHUM ROSULATUM WHOLE	TODDALIA ASIATICA
CHINESE PLUM WHOLE	DIOSCOREA VILLOSA
ACHILLEA AMBIGUA WHOLE	SCUTELLARIA LATERIFLORA
FRAGRANT WATERLILY WHOLE	ARENARIA LANUGINOSA
EMILIA RIGIDULA WHOLE	THYMBRA CAPITATA
CAPSELLA AGRESTIS-RUBELLA WHOLE	CELTIS LAEVIGATA
CHINESE ANGELICA	ELEUTHEROCOCCUS SENTICOSUS
MESPILUS OXYACANTHOIDES WHOLE	POLYGALA AMARA
CALIFORNIA WHITE OAK WHOLE	PARIETARIA JUDAICA
ERIGERON EXSTIPULATUS WHOLE	PERSICARIA MACULOSA
CAPSELLA RHOMBEA WHOLE	MELIA AZEDARACH
ALLIUM POLYANTHUM WHOLE	PISTIA STRATIOTES
ULMUS PROCERA [WHO-DD]	VALERIAN
LANGUAS OFFICINARUM WHOLE	SILYBUM MARIANUM
BLESSED THISTLE WHOLE	POGOSTEMON CABLIN
PASSIFLORA EDULIS WHOLE	TANACETUM PARTHENIUM
CARYA ALBA WHOLE	LEPIDIUM VIRGINICUM
ALCEA ROSEA WHOLE	DIOSPYROS VIRGINIANA
TRIPSACUM DACTYLOIDES (L.) L.	BACOPA MONNIERI
ROYAL POINCIANA WHOLE	SALIX LUCIDA
ENGLISH HAWTHORN	GINKGO BILOBA
QUERCUS OBLONGIFOLIA WHOLE	PTELEA TRIFOLIATA
LUDWIGIA PEPLOIDES	ATRACTYLODES MACROCEPHALA
ACACIA CYANOPHYLLA WHOLE	COLLINSIA PARVIFLORA
JUSSIAEA PLUMERIANA WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA GRACILESCENS WHOLE	SALIX TRIANDRA
ERYTHRAEA LATIFOLIA WHOLE	BLACK PEPPER
PYROPOLYPORUS FOMENTARIUS WHOLE	NYMPHAEA ODORATA
SPATHODEA LUTEA WHOLE	COLLINSIA PARVIFLORA
WARBURGIA UGANDENSIS	FICUS SUR
ZUCCA COMMERSONIANA WHOLE	BACOPA MONNIERI
NAVARRETIA LINEARIS WHOLE	SALIX BABYLONICA
BOTROPHIS ACTAEOIDES WHOLE	EUPHORBIA ANTISYPHILITICA
SWEET BETTY WHOLE	FICUS SUR
SYMPHYTUM PEREGRINUM WHOLE	ALBATRELLUS CONFLUENS
SALVIA LUPINOIDES WHOLE	ZANTHOXYLUM OVALIFOLIUM
BLUMEA CERNUA WHOLE	FERULA COMMUNIS
CASTANEA SATIVA WHOLE	NUPHAR LUTEA
CLEMATOPSIS SAPINII WHOLE	SALVIA VERBENACA
ACHILLEA SUBMELLIFOLIUM WHOLE	ROSA CANINA
MAGNOLIA STRICTA WHOLE	PRUNUS SPINOSA
MATRIMONY-VINE WHOLE	BLUMEA LACERA
OXYDECTES DRACONOIDES WHOLE	ASPARAGUS RACEMOSUS
VACCINIUM PALLIDUM AITON	FRANGULA ALNUS
PLETHIOSPHACE LEISTNERIANA WHOLE	SALVIA TOMENTOSA
JUSSIAEA MAURITIANA WHOLE	SALVIA SCLAREA
SYMPHYTUM OFFICINALE WHOLE	SALVIA VERBENACA
RUBUS TETRICUS WHOLE	ANETHUM GRAVEOLENS
URTICA TIBETICA WHOLE	HAMAMELIS VIRGINIANA
CAULOPHYLLUM THALICTROIDES WHOLE	SERENOA REPENS
PUALELE WHOLE	JUNCUS EFFUSUS
VEREIA NUDICAULIS WHOLE	RUBUS LACINIATUS
ULMUS FULVA WHOLE	TEUCRIUM BOTRYS
CONYZA CINEREA WHOLE	MIRABILIS JALAPA
HOGWEED	FUMARIA OFFICINALIS
CAPRIFOLIUM JAPONICUM WHOLE	MIMOSA PUDICA
CHIONANTHUS ROSEUS WHOLE	CITRUS AURANTIUM
ERYTHRINA HEDERIFOLIA WHOLE	HYPERICUM GENTIANOIDES
ULMUS HEYDERI WHOLE	BACOPA MONNIERI
IONIDIUM HIRTUM WHOLE	ACTAEA RACEMOSA
ACORUS CALAMUS [WHO-DD]	CORYLUS AVELLANA
CITRUS X CANALICULATA WHOLE	HYPERICUM HYPERICOIDES
SWAMP GRAPE WHOLE	ZANTHOXYLUM OVALIFOLIUM
MALVA RUDERALIS WHOLE	QUERCUS ILEX
CARBENI BENEDICTA WHOLE	CYPERUS ROTUNDUS
DIANELLA TRIANDRA WHOLE	ESCHSCHOLZIA CALIFORNICA
DAPHNE GNIDIUM WHOLE	CORYLUS AVELLANA
LAGOPUS PRATENSIS WHOLE	MITRACARPUS HIRTUS
URENA POLYFLORA WHOLE	DESMODIUM GLUTINOSUM
WILD CABBAGE WHOLE	CYPERUS ROTUNDUS
CARCHARHINUS AZUREUS WHOLE	SCHIZACHYRIUM SCOPARIUM
ERYTHRAEA ANATOLICA WHOLE	SAPOSHNIKOVIA DIVARICATA
TYPHA MAJOR WHOLE	GREWIA VILLOSA
HOITZIA LINEARIS WHOLE	COMBRETUM MOLLE
GENTIAN [HOC]	DIOSCOREA VILLOSA
SCOTCH PINE [HOC]	VITIS AESTIVALIS
VERBASCUM THAPSUS EXTRACT [WHO-DD]	CENTROSEMA VIRGINIANUM
BABY SAGE WHOLE	CAPSELLA BURSA-PASTORIS
TYPHA SALGIRICA WHOLE	LENS CULINARIS
ASCLEPIAS DEBILIS WHOLE	CAPSELLA BURSA-PASTORIS
CITRUS X SINENSIS WHOLE	CYPERUS ROTUNDUS
PASTINACA ANETHUM WHOLE	MIRABILIS JALAPA
BROADLEAF CATTAIL WHOLE	WOODLAND HAWTHORN
CINNAMOMUM CAMPHOROIDES WHOLE	OPUNTIA HUMIFUSA
LIBANOTIS MONTANA WHOLE	MALVA SYLVESTRIS
CASSIA CAROLINIANA WHOLE	CYPERUS ROTUNDUS
MIKANIA MACBRIDEI WHOLE	SWALLOWWORT
TILIA TEXANA WHOLE	EQUISETUM HYEMALE
AGELAEA PHASEOLIFOLIA WHOLE	KHAYA ANTHOTHECA
CROTALARIA HOOKERI WHOLE	SOLANUM ANGUIVI
ARCTIUM LAPPA L.	ALECTRA SESSILIFLORA
CERATONIA SILIQUA	ACORUS CALAMUS
ROSA SYNTRICHOSTYLA WHOLE	VERONICA CHAMAEDRYS
SWAN RIVER WHALER WHOLE	LICORICE
DAPHNE EUBOICA WHOLE	LEONURUS CARDIACA
TILLANDSIA TRICHOIDES WHOLE	SENNA OCCIDENTALIS
BERBERIS MACROPHYLLA WHOLE	ECBALLIUM ELATERIUM
SALIX OHSIDARE WHOLE	SESBANIA SESBAN
TILIA AMERICANA WHOLE	SYMPHYTUM OFFICINALE
SCLAREA VISCOSISSIMA WHOLE	ANDROPOGON GLOMERATUS
ULMUS ATINIA WHOLE	AMARANTHUS SPINOSUS
ELEUTHEROCOCCUS KOREANUS WHOLE	AFROHYBANTHUS ENNEASPERMUS
CARDIACA TRILOBATA WHOLE	DACTYLORHIZA INCARNATA
LIQUIDAMBAR STYRACIFLUA	BACOPA MONNIERI
KHAYA NYASICA WHOLE	MATRICARIA CHAMOMILLA
RANUNCULUS SUBALPINUS WHOLE	ENTEROLOBIUM CYCLOCARPUM
BORRERIA MINIMA WHOLE	EUGENIA BIFLORA
AMORPHA VIRGATA WHOLE	TRIBULUS TERRESTRIS
PAPAVER STIPITATUM WHOLE	TRIBULUS TERRESTRIS
PHYTOSALPINX AMERICANA WHOLE	GLADIOLUS DALENII
HELICHRYSUM ARENARIUM WHOLE	CLINOPODIUM POLYCEPHALUM
ILEX THOMSONII WHOLE	TAMARIX CHINENSIS
HYDROPYRUM ESCULENTUM WHOLE	PYROSTEGIA VENUSTA
ASPARAGOPSIS SUBQUADRANGULARIS WHOLE	LENS CULINARIS
ASTRAGALUS MEMBRANACEUS WHOLE	OXYRIA DIGYNA
CALIFORNIA YERBA SANTA WHOLE	HYPERICUM REVOLUTUM
LEPIDIUM ARCUATUM WHOLE	ASCLEPIAS INCARNATA
LIGUSTICUM FOENICULUM WHOLE	ALOYSIA TRIPHYLLA
ABIES MENZIESII WHOLE	GALIUM APARINE
QUERCUS WILCOXII WHOLE	DAPHNE OLEOIDES
PINUS LONGIFOLIA WHOLE	TRIBULUS TERRESTRIS
ERYTHRAEA HERMANNII WHOLE	HYPERICUM TRIQUETRIFOLIUM
CONFORATA AGERATUM WHOLE	ACORUS CALAMUS
CITRUS X NATSUDAIDAI WHOLE	ANETHUM GRAVEOLENS
PLEOPELTIS CRASSIFOLIA WHOLE	CORIANDRUM SATIVUM
PORRUM COMMUNE WHOLE	HELMINTHOTHECA ECHIOIDES
OXYDECTES DRACONOIDES WHOLE	AGATHOSMA BETULINA
ATLANTIC PIGEONWINGS WHOLE	CROTALARIA JUNCEA
GALIUM UNIFLORUM MICHX.	ERYNGIUM FOETIDUM
TARAXACUM VULGARE WHOLE	EUPATORIUM FORTUNEI
PICEA TENUIFOLIA WHOLE	AGELAEA PENTAGYNA
CERINTHE LONGIFLORA WHOLE	PHYTOLACCA AMERICANA
CASTANEA SINENSIS WHOLE	YUCCA FILAMENTOSA
ROBINIA SOPHORIFOLIA WHOLE	DIPSACUS FULLONUM
HANDROANTHUS HEPTAPHYLLUS [WHO-DD]	STILLINGIA SYLVATICA
MEADSWEET WHOLE	ALCEA ROSEA
PARIETARIA JAXARTICA WHOLE	PRUNUS ARMENIACA
TILIA RELICTA WHOLE	ACHILLEA MILLEFOLIUM
ASPARAGOPSIS HOHENACKERI WHOLE	BARBERRY
ARECA HIMALAYANA WHOLE	SALIX TRIANDRA
EUPATORIUM CAPILLIFOLIUM WHOLE	PLECTRANTHUS ESCULENTUS
CASPARIA AURITA WHOLE	SABAL MINOR
FICUS COLOMBRA WHOLE	LICORICE
USSURIAN THORNY PEPPERBUSH WHOLE	CINNAMOMUM CAMPHORA
CAPSELLA SMOLANDICA WHOLE	ALOCASIA MACRORRHIZOS
LYCIUM TURBINATUM WHOLE	ELEUTHEROCOCCUS SENTICOSUS
EUGENIA CAURENSIS WHOLE	TEUCRIUM CRETICUM
RHYNCHOSTYLIS PRAEMORSA WHOLE	OENANTHE AQUATICA
PLECTRANTHUS ESCULENTUS N.E.BR.	HEUCHERA CYLINDRICA
ARCTOSTAPHYLOS NEVADENSIS WHOLE	ALLIUM PORRUM
SESBANIA TCHADICA WHOLE	AFROHYBANTHUS ENNEASPERMUS
CHINESE-PARSLEY WHOLE	TOONA SINENSIS
ESCHSCHOLZIA LEPTANDRA WHOLE	CLEMATIS VILLOSA
ALTHAEA ROSEA WHOLE	PEUMUS BOLDUS
PANICUM DUCHAISSINGII WHOLE	SANGUINARIA CANADENSIS
ACHILLEA CRISTATA WHOLE	FICUS CARICA
SPERMACOCE HIRTA WHOLE	AFROHYBANTHUS ENNEASPERMUS
FRAXINUS CAROLINENSIS WHOLE	POLYGALA AMARA
TEPHROSIA LEUCOSERICEA WHOLE	KRATOM
BLACKSAMSON WHOLE	SPERMACOCE VERTICILLATA
QUERCUS TOURNEFORTII WHOLE	NASTURTIUM OFFICINALE
TRINIA DAHURICA WHOLE	SOLANUM AMERICANUM
SILKTREE WHOLE	LUDWIGIA PEPLOIDES
DIPSACUS FULLONUM WHOLE	CENTAURIUM ERYTHRAEA
OXYACANTHA APIIFOLIA WHOLE	PLUCHEA INDICA
RUBUS CONTINENTALIS WHOLE	EUTERPE OLERACEA
EARLEAF GREENBRIER WHOLE	COLLOMIA LINEARIS
EASTERN PURPLE CONEFLOWER WHOLE	RIVINA HUMILIS
EUROPEAN PENNYROYAL [HOC]	CAPSELLA BURSA-PASTORIS
SOLANUM CAROLINENSE [HPUS]	BACOPA MONNIERI
HEUCHERA SAXICOLA WHOLE	PERSICARIA MACULOSA
REJOUA NOVOGUINEENSIS WHOLE	SCHOENOPLECTUS TABERNAEMONTANI
SUCCORY WHOLE	ALBATRELLUS CONFLUENS
COMMON HOREHOUND WHOLE	BUPLEURUM CHINENSE
BIDENS CHILENSIS WHOLE	BLUMEA LACERA
CAPSELLA DIODONTA WHOLE	CHIMAPHILA UMBELLATA
